"partida_id","rodata","clube","cartao","atleta","num_camisa","posicao","minuto"
"4619","2","Internacional","Amarelo","Gladestony","","","66"
"4620","2","Vitoria","Amarelo","Dão","","Zagueiro","73"
"4621","2","Corinthians","Amarelo","Ralf de Souza Teles","5","Meio-campo","26"
"4621","2","Flamengo","Amarelo","Víctor Cáceres","5","Meio-campo","37"
"4622","2","Cruzeiro","Amarelo","Henrique Pacheco Lima","8","Meio-campo","70"
"4623","2","Figueirense","Amarelo","Marcos Assunção","","Meio-campo","73"
"4623","2","Figueirense","Amarelo","Paulo Roberto da Silva","28","Meio-campo","35"
"4623","2","Bahia","Amarelo","Demerson Bruno Costa","29","Zagueiro","32"
"4624","2","Gremio","Amarelo","Rodrigo Eduardo Costa Marinho","27","Meio-campo","45"
"4624","2","Atletico-MG","Amarelo","André Felipe Ribeiro de Souza","","","90"
"4624","2","Atletico-MG","Amarelo","Nicolás Otamendi","20","Zagueiro","41"
"4626","2","Sport","Amarelo","Danilo Barcelos","14","","69"
"4621","2","Flamengo","Vermelho","Léo Moura","2","Zagueiro","42"
"4619","2","Botafogo-RJ","Amarelo","Airton Ribeiro Santos","","Meio-campo","52"
"4619","2","Internacional","Amarelo","Charles Aránguiz","20","Meio-campo","82"
"4619","2","Internacional","Amarelo","Willians Domingos Fernandes","8","Meio-campo","16"
"4620","2","Athletico-PR","Amarelo","Dráusio Luis Salla Gil","55","Zagueiro","10"
"4621","2","Corinthians","Amarelo","Paolo Guerrero","9","Atacante","7"
"4622","2","Cruzeiro","Amarelo","Miguel Samudio","21","Zagueiro","90+1"
"4622","2","Sao Paulo","Amarelo","Álvaro Pereira","6","Zagueiro","23"
"4623","2","Figueirense","Amarelo","Thiago Heleno","4","Zagueiro","70"
"4623","2","Bahia","Amarelo","Fahel","7","Meio-campo","66"
"4624","2","Gremio","Amarelo","Bressan","22","Zagueiro","54"
"4624","2","Gremio","Amarelo","Alan Ruiz","11","Meio-campo","34"
"4624","2","Atletico-MG","Amarelo","Leonardo Silva","3","Zagueiro","51"
"4625","2","Criciuma","Amarelo","Bruno Lopes","","Atacante","18"
"4626","2","Chapecoense","Amarelo","Rafael Lima","3","Zagueiro","53"
"4619","2","Botafogo-RJ","Vermelho","Lucas Rios Marques","2","Zagueiro","90+3"
"4624","2","Gremio","Vermelho","Bressan","22","Zagueiro","87"
"4627","3","Santos","Amarelo","Alan Santos da Silva","","Meio-campo","26"
"4628","3","Athletico-PR","Amarelo","Natanael Batista Pimenta","6","Zagueiro","74"
"4628","3","Athletico-PR","Amarelo","Cleberson Martins de Souza","4","Zagueiro","27"
"4628","3","Cruzeiro","Amarelo","Wallace Fortuna dos Santos","18","Zagueiro","77"
"4629","3","Sao Paulo","Amarelo","Luís Fabiano","9","Atacante","76"
"4629","3","Sao Paulo","Amarelo","Alexandre Pato","","Atacante","23"
"4629","3","Coritiba","Amarelo","Luccas Claro","3","Zagueiro","52"
"4630","3","Fluminense","Amarelo","Fred","9","Atacante","90"
"4628","3","Athletico-PR","Vermelho","Dráusio Luis Salla Gil","55","Zagueiro","47"
"4627","3","Gremio","Amarelo","Edinho","15","Meio-campo","29"
"4628","3","Athletico-PR","Amarelo","Weverton Pereira da Silva","12","Goleiro","60"
"4628","3","Cruzeiro","Amarelo","Elierce Barbosa de Souza","78","Meio-campo","90+2"
"4628","3","Cruzeiro","Amarelo","Luan Michel Louzã","88","Atacante","71"
"4629","3","Sao Paulo","Amarelo","Antônio Carlos dos Santos Aguiar","4","Zagueiro","53"
"4629","3","Coritiba","Amarelo","Leandro Almeida","44","Zagueiro","58"
"4629","3","Coritiba","Amarelo","Zé Love","7","Atacante","36"
"4630","3","Vitoria","Amarelo","Souza","","Atacante","61"
"4631","3","Criciuma","Amarelo","Rodrigo Silva","","","85"
"4631","3","Figueirense","Amarelo","Rivaldo Barbosa de Souza","7","Zagueiro","72"
"4631","3","Figueirense","Amarelo","Tiago Luis Volpi","","Goleiro","31"
"4632","3","Internacional","Amarelo","Charles Aránguiz","20","Meio-campo","81"
"4632","3","Sport","Amarelo","Ananias Elói Castro Monteiro","27","Atacante","48"
"4633","3","Bahia","Amarelo","Lincoln Cássio de Souza Soares","","Meio-campo","81"
"4633","3","Bahia","Amarelo","Uelliton da Silva Vieira","8","Meio-campo","8"
"4633","3","Botafogo-RJ","Amarelo","Matheus Dória Macedo","21","Zagueiro","90+4"
"4633","3","Botafogo-RJ","Amarelo","Gabriel Girotto Franco","15","Meio-campo","45"
"4634","3","Flamengo","Amarelo","André Santos","27","Zagueiro","77"
"4634","3","Palmeiras","Amarelo","William Mendieta","","","90+2"
"4634","3","Palmeiras","Amarelo","Juninho","6","Zagueiro","57"
"4635","3","Chapecoense","Amarelo","Rafael Lima","3","Zagueiro","80"
"4635","3","Chapecoense","Amarelo","André Luiz Paulino de Souza Motta","4","Zagueiro","19"
"4635","3","Corinthians","Amarelo","Guilherme dos Santos Torres","19","Meio-campo","25"
"4636","3","Atletico-MG","Amarelo","Victor","1","Goleiro","90+2"
"4636","3","Goias","Amarelo","Tiago Real","","Meio-campo","90+3"
"4631","3","Figueirense","Amarelo","Thiago Heleno","4","Zagueiro","82"
"4631","3","Figueirense","Amarelo","Paulo Roberto da Silva","28","Meio-campo","47"
"4631","3","Figueirense","Amarelo","Nirley da Silva Fonseca","88","Zagueiro","25"
"4632","3","Internacional","Amarelo","Juan Silveira dos Santos","4","Zagueiro","57"
"4632","3","Sport","Amarelo","Luiz Antonio Linhares Garcia","13","Zagueiro","37"
"4633","3","Bahia","Amarelo","Anderson Talisca","8","Atacante","12"
"4633","3","Bahia","Amarelo","Marcelo Lomba","1","Goleiro","5"
"4633","3","Botafogo-RJ","Amarelo","Edílson Mendes Guimarães","33","Zagueiro","56"
"4633","3","Botafogo-RJ","Amarelo","Júnior César","","Zagueiro","13"
"4634","3","Flamengo","Amarelo","Negueba","","Meio-campo","51"
"4634","3","Palmeiras","Amarelo","Henrique Dourado","27","Atacante","90+1"
"4634","3","Palmeiras","Amarelo","Josimar","15","Meio-campo","41"
"4635","3","Chapecoense","Amarelo","Neuton","13","Zagueiro","23"
"4635","3","Corinthians","Amarelo","Fagner","23","Zagueiro","43"
"4635","3","Corinthians","Amarelo","Romarinho","31","Atacante","15"
"4636","3","Atletico-MG","Amarelo","Claudinei Junio de Souza","","Meio-campo","67"
"4631","3","Figueirense","Vermelho","Nirley da Silva Fonseca","88","Zagueiro","30"
"4637","4","Internacional","Amarelo","Willians Domingos Fernandes","8","Meio-campo","57"
"4637","4","Athletico-PR","Amarelo","Deivid Willian da Silva","5","Meio-campo","63"
"4638","4","Palmeiras","Amarelo","Jorge Valdivia","10","Meio-campo","87"
"4638","4","Palmeiras","Amarelo","Wesley Lopes Beltrame","11","Meio-campo","30"
"4638","4","Goias","Amarelo","Jackson de Souza","","Zagueiro","73"
"4638","4","Goias","Amarelo","Alex Alves Cardoso","15","Zagueiro","34"
"4639","4","Botafogo-RJ","Amarelo","Matheus Dória Macedo","21","Zagueiro","68"
"4639","4","Criciuma","Amarelo","Bruno Lopes","","","69"
"4639","4","Criciuma","Amarelo","Fábio Ferreira","","Zagueiro","36"
"4637","4","Internacional","Amarelo","Charles Aránguiz","20","Meio-campo","71"
"4637","4","Internacional","Amarelo","Alex Raphael Meschini","12","Meio-campo","30"
"4638","4","Palmeiras","Amarelo","Henrique Dourado","27","Atacante","88"
"4638","4","Palmeiras","Amarelo","Fábio Szymonek","47","Goleiro","45+2"
"4638","4","Palmeiras","Amarelo","Lucimar da Silva Ferreira","3","Zagueiro","28"
"4638","4","Goias","Amarelo","Edson Pereira Lisboa","36","","69"
"4638","4","Goias","Amarelo","Willian José de Souza","5","Meio-campo","15"
"4639","4","Criciuma","Amarelo","Rodrigo Souza","","Meio-campo","85"
"4639","4","Criciuma","Amarelo","Carlos Eduardo Santos Oliveira","","Zagueiro","47"
"4639","4","Criciuma","Amarelo","Sérgio Antônio Borges Júnior","","Meio-campo","27"
"4640","4","Chapecoense","Amarelo","Rafael Lima","3","Zagueiro","79"
"4640","4","Gremio","Amarelo","Luan Guilherme de Jesus Vieira","7","","77"
"4640","4","Gremio","Amarelo","Edinho","15","Meio-campo","58"
"4641","4","Fluminense","Amarelo","Francisco Souza dos Santos","13","","88"
"4641","4","Flamengo","Amarelo","Lucas Mugni","","Meio-campo","38"
"4641","4","Flamengo","Amarelo","Paulinho","","Atacante","10"
"4642","4","Atletico-MG","Amarelo","Alex da Silva","","Zagueiro","90+3"
"4642","4","Atletico-MG","Amarelo","Leonardo Silva","3","Zagueiro","51"
"4642","4","Atletico-MG","Amarelo","André Felipe Ribeiro de Souza","","Atacante","21"
"4642","4","Cruzeiro","Amarelo","Jonathan Marlone","23","Meio-campo","40"
"4643","4","Sao Paulo","Amarelo","Luis Ricardo","27","Zagueiro","83"
"4643","4","Corinthians","Amarelo","Luciano da Rocha Neves","18","","70"
"4644","4","Figueirense","Amarelo","Luan José Niedzielski","21","Meio-campo","56"
"4644","4","Santos","Amarelo","Neuciano Gusmão","4","Zagueiro","89"
"4645","4","Coritiba","Amarelo","Luis Francisco Grando","25","Meio-campo","42"
"4645","4","Sport","Amarelo","Leonardo Gonçalves Silva","19","Atacante","39"
"4646","4","Bahia","Amarelo","Roniery","","Zagueiro","55"
"4646","4","Vitoria","Amarelo","Souza","","Atacante","45+2"
"4646","4","Vitoria","Amarelo","José Welison","14","Meio-campo","42"
"4642","4","Cruzeiro","Vermelho","Marcelo Moreno","18","Atacante","90+5"
"4644","4","Figueirense","Vermelho","Raúl Silva","13","Zagueiro","67"
"4646","4","Bahia","Vermelho","Uelliton da Silva Vieira","8","Meio-campo","75"
"4640","4","Chapecoense","Amarelo","André Luiz Paulino de Souza Motta","4","Zagueiro","32"
"4640","4","Gremio","Amarelo","Hernán Barcos","9","Atacante","66"
"4640","4","Gremio","Amarelo","Eduardo Pereira Rodrigues","7","Atacante","46"
"4641","4","Fluminense","Amarelo","Carlos Andrade Souza","6","Zagueiro","18"
"4641","4","Flamengo","Amarelo","André Santos","27","Zagueiro","16"
"4641","4","Flamengo","Amarelo","Víctor Cáceres","5","Meio-campo","8"
"4642","4","Atletico-MG","Amarelo","Leandro Donizete","8","Meio-campo","51"
"4642","4","Atletico-MG","Amarelo","Victor","1","Goleiro","50"
"4642","4","Cruzeiro","Amarelo","Leonardo Renan Simões de Lacerda","3","Zagueiro","70"
"4643","4","Sao Paulo","Amarelo","Maicon","18","Meio-campo","90+2"
"4643","4","Sao Paulo","Amarelo","Álvaro Pereira","6","Zagueiro","29"
"4643","4","Corinthians","Amarelo","Petros","40","Meio-campo","29"
"4644","4","Figueirense","Amarelo","Rogisvaldo João dos Santos","","Meio-campo","52"
"4645","4","Coritiba","Amarelo","Leandro Almeida","44","Zagueiro","86"
"4645","4","Coritiba","Amarelo","Carlos Emiliano Pereira","30","Zagueiro","20"
"4646","4","Bahia","Amarelo","Pará","40","Zagueiro","90+2"
"4646","4","Bahia","Amarelo","Demerson Bruno Costa","29","Zagueiro","45+1"
"4646","4","Vitoria","Amarelo","Neto Coruja","","Meio-campo","45"
"4642","4","Cruzeiro","Vermelho","Luan Michel Louzã","88","Atacante","75"
"4644","4","Santos","Vermelho","Neuciano Gusmão","4","Zagueiro","89"
"4646","4","Vitoria","Vermelho","Souza","","Atacante","75"
"4647","5","Goias","Amarelo","Willian José de Souza","5","Meio-campo","81"
"4647","5","Goias","Amarelo","Esquerdinha","","Meio-campo","89"
"4647","5","Goias","Amarelo","Alex Alves Cardoso","15","Zagueiro","78"
"4648","5","Cruzeiro","Amarelo","Éverton Ribeiro","17","Meio-campo","90"
"4648","5","Coritiba","Amarelo","Luccas Claro","3","Zagueiro","49"
"4648","5","Cruzeiro","Amarelo","Dagoberto Pelentier","11","Atacante","73"
"4651","5","Sao Paulo","Amarelo","Maicon","18","Meio-campo","21"
"4652","5","Athletico-PR","Amarelo","Marcos Guilherme","22","Meio-campo","15"
"4652","5","Chapecoense","Amarelo","Bruno César Pereira da Silva","","Meio-campo","16"
"4654","5","Criciuma","Amarelo","Carlos Eduardo Santos Oliveira","","Zagueiro","32"
"4654","5","Internacional","Amarelo","Rafael Moura","11","Atacante","54"
"4655","5","Santos","Amarelo","Thiago Ribeiro","26","Atacante","83"
"4655","5","Santos","Amarelo","David Braz","14","Zagueiro","27"
"4655","5","Atletico-MG","Amarelo","Victor","1","Goleiro","71"
"4649","5","Gremio","Amarelo","Alan Ruiz","11","Meio-campo","68"
"4649","5","Fluminense","Amarelo","Elivélton","14","Zagueiro","81"
"4650","5","Corinthians","Amarelo","Cleber Reis","3","Zagueiro","80"
"4650","5","Corinthians","Amarelo","Jadson","10","Meio-campo","43"
"4650","5","Figueirense","Amarelo","Ricardo Bueno","","Atacante","79"
"4650","5","Figueirense","Amarelo","Leandro Silva","2","Zagueiro","24"
"4649","5","Fluminense","Vermelho","Fred","9","Atacante","69"
"4651","5","Flamengo","Amarelo","Léo Moura","2","Zagueiro","19"
"4652","5","Athletico-PR","Amarelo","Marcelo Cirino da Silva","10","Atacante","78"
"4652","5","Chapecoense","Amarelo","Fabiano","2","Zagueiro","63"
"4654","5","Criciuma","Amarelo","Rodrigo Souza","","Meio-campo","90+3"
"4654","5","Internacional","Amarelo","Juan Silveira dos Santos","4","Zagueiro","80"
"4654","5","Internacional","Amarelo","Willians Domingos Fernandes","8","Meio-campo","36"
"4655","5","Santos","Amarelo","Hélio Hermito Zampier Neto","","Zagueiro","40"
"4655","5","Atletico-MG","Amarelo","Leonardo Silva","3","Zagueiro","88"
"4655","5","Atletico-MG","Amarelo","Emerson da Conceição","19","Zagueiro","69"
"4649","5","Gremio","Amarelo","Marcos Rogério Ricci Lopes","2","Zagueiro","68"
"4649","5","Gremio","Amarelo","Ramiro Moschen Benetti","17","Meio-campo","41"
"4649","5","Fluminense","Amarelo","Fred","9","Atacante","68"
"4650","5","Corinthians","Amarelo","Romarinho","31","","59"
"4650","5","Corinthians","Amarelo","Guilherme dos Santos Torres","19","Meio-campo","35"
"4650","5","Figueirense","Amarelo","Éverton Santos","86","Atacante","71"
"4654","5","Criciuma","Vermelho","Carlos Eduardo Santos Oliveira","","Zagueiro","43"
"4657","6","Coritiba","Amarelo","Andrés Fernandes Gonçalves","5","Meio-campo","90+3"
"4657","6","Coritiba","Amarelo","Alexsandro de Souza","10","Meio-campo","24"
"4657","6","Internacional","Amarelo","Dida","1","Goleiro","75"
"4657","6","Internacional","Amarelo","Marcos Antônio de Lima","3","Zagueiro","56"
"4657","6","Internacional","Amarelo","Wellington Aparecido Martins","41","Meio-campo","25"
"4658","6","Flamengo","Amarelo","Elano","","Meio-campo","53"
"4658","6","Bahia","Amarelo","Cristian Chagas Tarouco","3","Zagueiro","11"
"4661","6","Corinthians","Amarelo","Jadson","10","Meio-campo","75"
"4661","6","Athletico-PR","Amarelo","Cleberson Martins de Souza","4","Zagueiro","73"
"4661","6","Athletico-PR","Amarelo","Marcos Guilherme","22","Meio-campo","25"
"4662","6","Fluminense","Amarelo","Darío Conca","11","Meio-campo","55"
"4662","6","Sao Paulo","Amarelo","Alexandre Pato","","Atacante","70"
"4662","6","Sao Paulo","Amarelo","Luís Fabiano","9","Atacante","45"
"4663","6","Gremio","Amarelo","Hernán Barcos","9","Atacante","73"
"4663","6","Botafogo-RJ","Amarelo","Carlos Alberto Gomes de Jesus","","Meio-campo","43"
"4657","6","Coritiba","Amarelo","Roni","","Meio-campo","45+1"
"4657","6","Internacional","Amarelo","Wellington Paulista","9","Atacante","90+3"
"4657","6","Internacional","Amarelo","Otávio","33","Meio-campo","70"
"4657","6","Internacional","Amarelo","Valdívia","29","","54"
"4658","6","Flamengo","Amarelo","Éverton Cardoso da Silva","22","Meio-campo","69"
"4658","6","Flamengo","Amarelo","Alecsandro","9","Atacante","22"
"4660","6","Criciuma","Amarelo","João Vitor Lima Gomes","","Meio-campo","86"
"4661","6","Athletico-PR","Amarelo","Otávio Henrique Santos","7","Meio-campo","90+2"
"4661","6","Athletico-PR","Amarelo","Sueliton Pereira","2","Zagueiro","49"
"4661","6","Athletico-PR","Amarelo","Natanael Batista Pimenta","6","Zagueiro","21"
"4662","6","Sao Paulo","Amarelo","Reinaldo Manoel da Silva","6","Zagueiro","83"
"4662","6","Sao Paulo","Amarelo","Paulo Miranda","13","Zagueiro","55"
"4663","6","Gremio","Amarelo","Alan Ruiz","11","Meio-campo","88"
"4663","6","Botafogo-RJ","Amarelo","Emerson Sheik","","Atacante","71"
"4663","6","Botafogo-RJ","Amarelo","Gabriel Girotto Franco","15","Meio-campo","40"
"4664","6","Palmeiras","Amarelo","William Matheus","16","Zagueiro","83"
"4664","6","Figueirense","Amarelo","Marcos Roberto da Silva Barbosa","3","Zagueiro","62"
"4664","6","Figueirense","Amarelo","Luan José Niedzielski","21","Meio-campo","52"
"4665","6","Goias","Amarelo","Thiago Henrique Mendes Ribeiro","23","Zagueiro","38"
"4665","6","Santos","Amarelo","Gabriel Barbosa","10","Atacante","45+1"
"4666","6","Vitoria","Amarelo","Rafael Berger","","Zagueiro","45+2"
"4666","6","Atletico-MG","Amarelo","Lucas Pierre Santos Oliveira","5","Meio-campo","45+1"
"4664","6","Palmeiras","Amarelo","Wendel Santana Pereira Santos","13","Zagueiro","11"
"4664","6","Figueirense","Amarelo","Thiago Heleno","4","Zagueiro","58"
"4665","6","Goias","Amarelo","David França Oliveira e Silva","8","Meio-campo","77"
"4665","6","Goias","Amarelo","Esquerdinha","","Atacante","37"
"4665","6","Santos","Amarelo","David Braz","14","Zagueiro","12"
"4666","6","Vitoria","Amarelo","Ayrton Ganino","","Zagueiro","35"
"4666","6","Atletico-MG","Amarelo","Marion Silva Fernandes","22","Atacante","30"
"4667","7","Bahia","Amarelo","Wellington Clayton Gonçalves dos Santos","","Meio-campo","78"
"4668","7","Sao Paulo","Amarelo","Douglas Pereira dos Santos","23","Zagueiro","62"
"4668","7","Sao Paulo","Amarelo","Josef de Souza Dias","8","Meio-campo","28"
"4668","7","Gremio","Amarelo","Ramiro Moschen Benetti","17","Meio-campo","27"
"4668","7","Sao Paulo","Amarelo","Maicon","18","Meio-campo","72"
"4668","7","Sao Paulo","Amarelo","Paulo Henrique Ganso","10","Meio-campo","31"
"4668","7","Gremio","Amarelo","Breno","","Zagueiro","60"
"4669","7","Santos","Amarelo","Jubal Rocha Mendes Júnior","36","Zagueiro","3"
"4669","7","Flamengo","Amarelo","Luiz Antônio de Souza Soares","15","Meio-campo","44"
"4670","7","Figueirense","Amarelo","Marcos Roberto da Silva Barbosa","3","Zagueiro","88"
"4670","7","Goias","Amarelo","Thiago Henrique Mendes Ribeiro","23","Zagueiro","72"
"4671","7","Sport","Amarelo","Durval","4","Zagueiro","37"
"4671","7","Corinthians","Amarelo","Bruno Henrique Corsini","25","Meio-campo","45+3"
"4672","7","Athletico-PR","Amarelo","Otávio Henrique Santos","7","Meio-campo","39"
"4672","7","Coritiba","Amarelo","Carlos Emiliano Pereira","30","Zagueiro","90"
"4672","7","Coritiba","Amarelo","Keirrison","99","","66"
"4672","7","Coritiba","Amarelo","Júlio César da Silva e Souza","11","Atacante","20"
"4673","7","Cruzeiro","Amarelo","Ricardo Goulart","28","Meio-campo","90"
"4674","7","Botafogo-RJ","Amarelo","Gabriel Girotto Franco","15","","90+2"
"4674","7","Botafogo-RJ","Amarelo","Mario Bolatti","23","Meio-campo","57"
"4674","7","Vitoria","Amarelo","Wilson Rodrigues de Moura Júnior","","Goleiro","81"
"4674","7","Vitoria","Amarelo","Joseilson Batista dos Santos","","Meio-campo","55"
"4675","7","Chapecoense","Amarelo","Neném","10","Meio-campo","45+1"
"4675","7","Palmeiras","Amarelo","Lucimar da Silva Ferreira","3","Zagueiro","60"
"4676","7","Atletico-MG","Amarelo","Leandro Donizete","8","Meio-campo","56"
"4676","7","Criciuma","Amarelo","Bruno Cortês","","Zagueiro","59"
"4669","7","Santos","Vermelho","Geuvânio","11","Atacante","76"
"4671","7","Sport","Vermelho","Durval","4","Zagueiro","53"
"4669","7","Santos","Amarelo","David Braz","14","Zagueiro","90"
"4669","7","Flamengo","Amarelo","Maurício Azevedo Alves","40","Meio-campo","80"
"4669","7","Flamengo","Amarelo","Samir","4","Zagueiro","24"
"4670","7","Goias","Amarelo","Alex Alves Cardoso","15","Zagueiro","89"
"4671","7","Sport","Amarelo","Patric Cabral Lalau","12","Zagueiro","71"
"4671","7","Sport","Amarelo","Rodrigo Mancha","5","Meio-campo","34"
"4672","7","Athletico-PR","Amarelo","Weverton Pereira da Silva","12","Goleiro","44"
"4672","7","Athletico-PR","Amarelo","Cleberson Martins de Souza","4","Zagueiro","12"
"4672","7","Coritiba","Amarelo","Hermenegildo da Costa Paulo Bartolomeu","45","","67"
"4672","7","Coritiba","Amarelo","Welinton","4","Zagueiro","58"
"4673","7","Internacional","Amarelo","Wellington Aparecido Martins","41","Meio-campo","68"
"4673","7","Cruzeiro","Amarelo","Dagoberto Pelentier","11","Atacante","35"
"4674","7","Botafogo-RJ","Amarelo","Júnior César","","Zagueiro","69"
"4674","7","Botafogo-RJ","Amarelo","Emerson Sheik","","Atacante","30"
"4674","7","Vitoria","Amarelo","Danilo Tarracha","","Zagueiro","77"
"4674","7","Vitoria","Amarelo","Neto Coruja","","Meio-campo","30"
"4675","7","Chapecoense","Amarelo","Fabiano","2","Zagueiro","33"
"4675","7","Palmeiras","Amarelo","Wesley Lopes Beltrame","11","Meio-campo","29"
"4676","7","Atletico-MG","Amarelo","Alex da Silva","","Zagueiro","44"
"4676","7","Criciuma","Amarelo","João Vitor Lima Gomes","","Meio-campo","43"
"4671","7","Sport","Vermelho","Neto Baiano","9","Atacante","71"
"4678","8","Botafogo-RJ","Amarelo","Mario Bolatti","23","Meio-campo","9"
"4679","8","Gremio","Amarelo","Eduardo Pereira Rodrigues","7","Meio-campo","58"
"4680","8","Internacional","Amarelo","Dida","1","Goleiro","90"
"4680","8","Chapecoense","Amarelo","Diones","16","Meio-campo","81"
"4680","8","Chapecoense","Amarelo","Wanderson","5","Meio-campo","77"
"4682","8","Corinthians","Amarelo","Cleber Reis","3","Zagueiro","84"
"4683","8","Athletico-PR","Amarelo","Deivid Willian da Silva","5","Meio-campo","65"
"4683","8","Sao Paulo","Amarelo","Osvaldo Filho","17","Atacante","78"
"4684","8","Atletico-MG","Amarelo","Alex da Silva","","Zagueiro","81"
"4684","8","Atletico-MG","Amarelo","Leandro Donizete","8","Meio-campo","71"
"4684","8","Atletico-MG","Amarelo","Leonardo Silva","3","Zagueiro","41"
"4684","8","Fluminense","Amarelo","Kenedy","30","","70"
"4684","8","Fluminense","Amarelo","Francisco Souza dos Santos","13","Meio-campo","36"
"4677","8","Criciuma","Amarelo","Carlos Eduardo Santos Oliveira","","Zagueiro","78"
"4677","8","Criciuma","Amarelo","Bruno Lopes","","Atacante","63"
"4677","8","Criciuma","Amarelo","Silvinho","","Atacante","25"
"4677","8","Coritiba","Amarelo","Júlio César da Silva e Souza","11","","84"
"4677","8","Coritiba","Amarelo","Dener Assunção Braz","6","Zagueiro","35"
"4678","8","Palmeiras","Amarelo","Wesley Lopes Beltrame","11","Meio-campo","54"
"4678","8","Botafogo-RJ","Amarelo","Emerson Sheik","","Atacante","16"
"4684","8","Fluminense","Vermelho","Michael Vinicius Silva de Morais","","","81"
"4679","8","Sport","Amarelo","Renê Rodrigues Martins","6","Zagueiro","66"
"4679","8","Gremio","Amarelo","Marcos Rogério Ricci Lopes","2","Zagueiro","28"
"4680","8","Internacional","Amarelo","Andrés D'Alessandro","10","Meio-campo","23"
